title,company,city,salary,skills,search_term,source,collected_at
Python developer,ITK academy,Краснодар,от 220 000 до 300 000 ₽,"Python, PostgreSQL, Docker, Apache Kafka, CI/CD",python,habr.com,2026-05-09 14:51:58
Аналитик данных (Антифрод-система),Совкомбанк Технологии4.72,Казань,Зарплата не указанаПохожие специалисты получают 170 000 - 272 000 ₽,"SQL, Python, TensorFlow, Keras, NumPy",python,habr.com,2026-05-09 14:51:58
Python Developer,ITK academy,Краснодар,от 75 000 ₽,"Git, SQL, Python, ООП, Docker",python,habr.com,2026-05-09 14:51:58
Python разработчик,ГНИВЦ4.66,Москва,Зарплата не указанаПохожие специалисты получают 229 000 - 332 000 ₽,"Openstack, Asyncio, SQLalchemy, Linux, PostgreSQL",python,habr.com,2026-05-09 14:51:58
Python-разработчик,ИТ-компания «Лоция»,Москва,Зарплата не указанаПохожие специалисты получают 199 000 - 361 000 ₽,Python,python,habr.com,2026-05-09 14:51:58
Junior AI Automation Engineer / AI-инженер (junior),OPENCITY,Москва,от 50 000 ₽,"LLM, Python, Тестирование API, Langgraph, Разработка решений по интеграции",python,habr.com,2026-05-09 14:51:58
Разработчик бэкенда (Python/Django) в команду развития сотрудников,Яндекс3.62,Москва,Зарплата не указанаПохожие специалисты получают 160 000 - 257 000 ₽,"Python, PostgreSQL, Django, Celery, Redis",python,habr.com,2026-05-09 14:51:58
"Старший инженер по автоматизации тестирования (Python, финтех)/ Senior AQA",Хайтек4.7,Не указан,Зарплата не указанаПохожие специалисты получают 234 000 - 514 000 ₽,"Автоматизация тестирования, Python, Selenium, Playwright, Тестирование API",python,habr.com,2026-05-09 14:51:58
Python-разработчик в ML,Koronatech,Санкт-Петербург,Зарплата не указанаПохожие специалисты получают 200 000 - 269 000 ₽,"Python, CI/CD, SQL, NoSQL, Kubernetes",python,habr.com,2026-05-09 14:51:58
Senior QA Automation Engineer (Python),2GIS4.67,Москва,Зарплата не указанаПохожие специалисты получают 280 000 - 370 000 ₽,"Python, Автоматизация тестирования, Langgraph, LLM",python,habr.com,2026-05-09 14:51:58
"Программист backend Python, Django middle +",Главгосэкспертиза России,Москва,Зарплата не указанаПохожие специалисты получают 189 000 - 270 000 ₽,"Python, Django, PostgreSQL, Docker, Git",python,habr.com,2026-05-09 14:51:58
ML инженер,Экстил4.67,Не указан,Зарплата не указанаПохожие специалисты получают 216 000 - 300 000 ₽,"Python, Scikit-learn, PyTorch, SQL",python,habr.com,2026-05-09 14:51:58
Tech Lead Python (IaaS/PaaS),ГНИВЦ4.66,Москва,Зарплата не указанаПохожие специалисты получают 325 000 - 472 000 ₽,"KVM, SQL, Виртуализация, Python, PostgreSQL",python,habr.com,2026-05-09 14:51:58
