title,company,city,salary,skills,experience,schedule,source,collected_at
Golang Developer (Кипр),Space307,Санкт-Петербург,251322.0 - ,"['Docker', 'Golang', 'Redis', 'Английский язык', 'Kafka']",От 3 до 6 лет,Полный день,hh_kaggle_47k,2026-05-09 18:45:11
Е-mail маркетолог,Монополия,Санкт-Петербург,60900.0 - ,"['Грамотность', 'Написание текстов', 'Грамотная речь', 'Написание статей']",От 1 года до 3 лет,Полный день,hh_kaggle_47k,2026-05-09 18:45:11
Оператор call-центра (удаленно),Eden Springs,Санкт-Петербург, - ,"['Клиентоориентированность', 'Ориентация на результат', 'CRM', 'Электронная почта', 'Телефонные переговоры', 'Прием и распределение телефонных звонков', 'Консультирование', 'Пользователь ПК', 'входящие звонки', 'исходящие звонки', 'Консультирование клиентов по телефону']",От 1 года до 3 лет,Удаленная работа,hh_kaggle_47k,2026-05-09 18:45:11
Ведущий SMM специалист,Импорт Хоум,Санкт-Петербург,60000.0 - 80000.0,"['Продвижение бренда', 'Креативность', 'Adobe Photoshop', 'Маркетинговый анализ', 'Adobe Illustrator', 'ABC-анализ', 'Работа в команде', 'Internet Marketing', 'Графический дизайн', 'Анализ PR стратегии конкурентов', 'Анализ конкурентной среды', 'Бюджетирование', 'Маркетинговая стратегия', 'Проведение презентаций', 'Брендинг']",От 1 года до 3 лет,Полный день,hh_kaggle_47k,2026-05-09 18:45:11
UX/UI Designer,Pride Games Studio,Санкт-Петербург, - ,"['UI', 'UX', 'gamedev', 'game design', 'проектирование интерфейсов']",От 1 года до 3 лет,Полный день,hh_kaggle_47k,2026-05-09 18:45:11
Middle Game Designer,Pride Games Studio,Санкт-Петербург, - ,[],От 1 года до 3 лет,Полный день,hh_kaggle_47k,2026-05-09 18:45:11
Специалист технического сопровождения,Global Ports Management,Санкт-Петербург,47850.0 - 56550.0,"['Грамотная речь', 'Грамотность', 'Работа с большим объемом информации', 'Деловая переписка']",Нет опыта,Сменный график,hh_kaggle_47k,2026-05-09 18:45:11
Back-End  Developer (Node.js),IT X100,Санкт-Петербург, - ,['Node.js'],От 3 до 6 лет,Удаленная работа,hh_kaggle_47k,2026-05-09 18:45:11
Системный администратор/DevOps,Адверт Лайн,Санкт-Петербург,160000.0 - ,"['devops', 'Nagios', 'Nginx', 'PHP', 'Администрирование серверов Linux', 'Linux', 'MySQL', 'Debian', 'Jenkins', 'ansible', 'SQL', 'Bash']",От 3 до 6 лет,Удаленная работа,hh_kaggle_47k,2026-05-09 18:45:11
Оператор станка с ЧПУ,Группа Компаний MVS,Санкт-Петербург,60000.0 - ,[],От 1 года до 3 лет,Полный день,hh_kaggle_47k,2026-05-09 18:45:11
