title,company,city,salary,work_type,experience_level,remote_allowed,source,collected_at
Software Engineer,Не указана,Los Angeles Metropolitan Area, - ,Full-time,,False,linkedin_kaggle,2026-05-09 18:56:51
Software Engineer,GOYT,"Denver, CO", - ,Part-time,,False,linkedin_kaggle,2026-05-09 18:56:51
Intern- Business Analytics,LT Apparel Group,Greensboro--Winston-Salem--High Point Area, - ,Temporary,,False,linkedin_kaggle,2026-05-09 18:56:51
Enterprise Data & Analytics Infrastructure Manager,KeyBank,"Cleveland, OH", - ,Full-time,,False,linkedin_kaggle,2026-05-09 18:56:51
Senior Software Engineer,StyleAI,San Francisco Bay Area, - ,Full-time,,False,linkedin_kaggle,2026-05-09 18:56:51
Sr Data Engineer with Kafka,ZenithMinds Inc,"Austin, TX", - ,Full-time,,True,linkedin_kaggle,2026-05-09 18:56:51
Cloud Platform/ Big Data Engineer,"Subaru Research and Development, Inc","Michigan, United States", - ,Full-time,Entry level,False,linkedin_kaggle,2026-05-09 18:56:51
Data Science Software Engineer,Sovrinti,United States, - ,Full-time,,True,linkedin_kaggle,2026-05-09 18:56:51
Data Engineer/ETL,SilverSpace Technologies Inc,"Hartford, CT", - ,Contract,,False,linkedin_kaggle,2026-05-09 18:56:51
Flight Software Engineer,Insight Global,"Webster, TX",140000.0 - 170000.0,Full-time,Mid-Senior level,False,linkedin_kaggle,2026-05-09 18:56:51
Data Analyst,Tenazx Inc,"Queens, NY", - ,Contract,,False,linkedin_kaggle,2026-05-09 18:56:51
Staff Software Engineer (AHT),Northrop Grumman,"Los Angeles, California, United States",161000.0 - 241400.0,Full-time,Mid-Senior level,False,linkedin_kaggle,2026-05-09 18:56:51
Software Engineer,TRG,"Westlake, OH", - ,Full-time,,False,linkedin_kaggle,2026-05-09 18:56:51
Senior Data Engineer/Analyst - Full Time,Не указана,"California, United States",101.0 - 107.0,Full-time,,True,linkedin_kaggle,2026-05-09 18:56:51
Senior Machine Learning Research Engineer,Symbolica AI,San Francisco Bay Area,150000.0 - 350000.0,Full-time,,False,linkedin_kaggle,2026-05-09 18:56:51
Software Engineer in Test Automation,Qentelli,"Dallas, TX", - ,Full-time,,False,linkedin_kaggle,2026-05-09 18:56:51
Machine Learning Engineer,NLB Services,"Dallas, TX", - ,Full-time,,False,linkedin_kaggle,2026-05-09 18:56:51
eCommerce Data Analyst,Radiant Systems Inc,United States, - ,Contract,,True,linkedin_kaggle,2026-05-09 18:56:51
Sr Software Engineer,"iBrain Technologies, Inc",United States, - ,Full-time,,True,linkedin_kaggle,2026-05-09 18:56:51
Azure Data Engineer (Full time),Publicis Sapient,"Arlington, VA",95000.0 - 145000.0,Full-time,Mid-Senior level,False,linkedin_kaggle,2026-05-09 18:56:51
Digital Analyst (Google Analytics),Advaana Inc,United States, - ,Full-time,,True,linkedin_kaggle,2026-05-09 18:56:51
