title,company,city,salary,source,collected_at,source_file,skills,experience,schedule,search_term,id,remote
Fullstack разработчик (react.js + python),Чубатюк Никита Васильевич,Москва,,zarplata.ru,2026-05-09 16:47:34,zarplata_selenium_vacancies.csv,,,,,,
Преподаватель программирование Python,Школа математики и программирования Матрица,Москва,,zarplata.ru,2026-05-09 16:47:34,zarplata_selenium_vacancies.csv,,,,,,
Fullstack or Backend NodeJS/Python developer,ООО ПартДизайн,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Python Backend разработчик (Middle/Middle+),ООО СБК Парус,Москва,,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Python (Django) Backend разработчик (мидл),ООО Пиклема,Москва,,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Python-разработчик,Платформа Больших Данных,Москва,,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Senior Python Developer,ООО ОнТаргет ЛАБС,Алматы,,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Senior QA Engineer (Python + Playwright),JT marketing,Тбилиси,,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Python developer,ООО КОМТЕК,"Севастополь, Готская улица, 26А/11Г",,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Senior python-разработчик,AERODISK,Москва,,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Ведущий разработчик (Python),ООО МУЛЬТИФАКТОР,Москва,,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
Ведущий Python (PyTorch) разработчик,ООО ИТ-Экспертиза,"Москва, р-н Хамовники",,zarplata.ru,2026-05-09 16:47:35,zarplata_selenium_vacancies.csv,,,,,,
QA Auto Python специалист,Клируэй Текнолоджис,Москва,,zarplata.ru,2026-05-09 16:47:36,zarplata_selenium_vacancies.csv,,,,,,
Веб-инженер (Python / Node.js / MQTT),ООО СКМ,"Красноярск, р-н Ленинский",,zarplata.ru,2026-05-09 16:47:36,zarplata_selenium_vacancies.csv,,,,,,
Senior Python-разработчик (команда веб-разработки),ООО Исходный код,"Москва, р-н Южнопортовый",,zarplata.ru,2026-05-09 16:47:36,zarplata_selenium_vacancies.csv,,,,,,
Middle Python-разработчик (команда веб-разработки),ООО Исходный код,"Москва, р-н Южнопортовый",,zarplata.ru,2026-05-09 16:47:36,zarplata_selenium_vacancies.csv,,,,,,
"Инженер-программист (C++,Qt, CMake, Python)",ООО ИТЦ,"Ростов-на-Дону, 60К-9, 1-й километр, 3/6",,zarplata.ru,2026-05-09 16:47:36,zarplata_selenium_vacancies.csv,,,,,,
Мидл/Мидл+ Python-разработчик,ООО Аеза Групп,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:36,zarplata_selenium_vacancies.csv,,,,,,
Backend-разработчик (Python / Django),ООО Клинкар,Москва,,zarplata.ru,2026-05-09 16:47:36,zarplata_selenium_vacancies.csv,,,,,,
Педагог по программированию (Python/Unity),Роботекс,Москва,,zarplata.ru,2026-05-09 16:47:36,zarplata_selenium_vacancies.csv,,,,,,
Разработчик - администратор платформы (Python/Java),ДНВ,"станица Новотитаровская, улица Королёва, 40",,zarplata.ru,2026-05-09 16:47:37,zarplata_selenium_vacancies.csv,,,,,,
Fullstack-разработчик ( Python ),ЛИАН,Москва,,zarplata.ru,2026-05-09 16:47:38,zarplata_selenium_vacancies.csv,,,,,,
Преподаватель IT курсов (Python),ООО Цифровая Лаборатория,"Иркутск, р-н Правобережный",,zarplata.ru,2026-05-09 16:47:38,zarplata_selenium_vacancies.csv,,,,,,
QA Auto Python Engineer - Insurance Tech,«Zunami»,Калининград,,zarplata.ru,2026-05-09 16:47:38,zarplata_selenium_vacancies.csv,,,,,,
Звукооператор / светорежисер,ООО Питон,Новосибирск,,zarplata.ru,2026-05-09 16:47:39,zarplata_selenium_vacancies.csv,,,,,,
Senior backend-разработчик (Python),ООО Елизавета Групп,Москва,,zarplata.ru,2026-05-09 16:47:39,zarplata_selenium_vacancies.csv,,,,,,
Python разработчик (middle),SF.RU,Москва,,zarplata.ru,2026-05-09 16:47:39,zarplata_selenium_vacancies.csv,,,,,,
Python-разработчик / Data-scientist / Аналитик данных,АНО Федеральный Центр Беспилотных Авиационных Систем,Москва,,zarplata.ru,2026-05-09 16:47:40,zarplata_selenium_vacancies.csv,,,,,,
Python-разработчик / Python Dev,Кадровое агентство HireWay,Москва,,zarplata.ru,2026-05-09 16:47:40,zarplata_selenium_vacancies.csv,,,,,,
Python Developer (AI),ATI.SU,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:40,zarplata_selenium_vacancies.csv,,,,,,
Python разработчик (стажер / junior),SF.RU,Москва,,zarplata.ru,2026-05-09 16:47:40,zarplata_selenium_vacancies.csv,,,,,,
Python Developer (Data Lake),ATI.SU,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:40,zarplata_selenium_vacancies.csv,,,,,,
"Backend программист Python (middle, senior)",ООО Ак,Пенза,,zarplata.ru,2026-05-09 16:47:41,zarplata_selenium_vacancies.csv,,,,,,
Разработчик (сетевой) Python (middle+),АО НИИ МАСШТАБ,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:41,zarplata_selenium_vacancies.csv,,,,,,
Fullstack-разработчик (Python / ПАК),ООО Алгкод,"Воронеж, р-н Левобережный",,zarplata.ru,2026-05-09 16:47:41,zarplata_selenium_vacancies.csv,,,,,,
"Backend Python developer (Middle+/Senior, AI)",modesco,Волгоград,,zarplata.ru,2026-05-09 16:47:41,zarplata_selenium_vacancies.csv,,,,,,
"Финансовый аналитик (A/B‑тестирование, SQL, Python)",ООО ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,Москва,,zarplata.ru,2026-05-09 16:47:41,zarplata_selenium_vacancies.csv,,,,,,
Risk Analyst,ООО Ок Софт,Москва,,zarplata.ru,2026-05-09 16:47:41,zarplata_selenium_vacancies.csv,,,,,,
Аналитик,ООО АвтоИнсДат,"Москва, р-н Замоскворечье",,zarplata.ru,2026-05-09 16:47:42,zarplata_selenium_vacancies.csv,,,,,,
Системный аналитик (AppSec.Track),Swordfish Security,Москва,,zarplata.ru,2026-05-09 16:47:42,zarplata_selenium_vacancies.csv,,,,,,
AI Engineer (International AI Brand),MT Lab,Москва,,zarplata.ru,2026-05-09 16:47:42,zarplata_selenium_vacancies.csv,,,,,,
Преподаватель программирования в международную школу,Алгоритмика::Березовский (ООО САГ Компани),"Берёзовский, улица Гагарина, 29",,zarplata.ru,2026-05-09 16:47:42,zarplata_selenium_vacancies.csv,,,,,,
Старший разработчик Java (AppSec.Wave),Swordfish Security,Москва,,zarplata.ru,2026-05-09 16:47:42,zarplata_selenium_vacancies.csv,,,,,,
Backend-инженер (python) на направление Телефония/Голосовые роботы,Leadgid,Москва,,zarplata.ru,2026-05-09 16:47:43,zarplata_selenium_vacancies.csv,,,,,,
AI generative\2d Lead artist,AldanDev,Москва,,zarplata.ru,2026-05-09 16:47:52,zarplata_selenium_vacancies.csv,,,,,,
"Fullstack-разработчик, программист",ООО УФ-МАСТЕР,"Тула, р-н Советский",,zarplata.ru,2026-05-09 16:47:53,zarplata_selenium_vacancies.csv,,,,,,
Ведущий разработчик,ООО Энергоинновации,"Зеленодольск, промышленная площадка Зеленодольск, 17",,zarplata.ru,2026-05-09 16:47:53,zarplata_selenium_vacancies.csv,,,,,,
"QA Engineer/Тестировщик (Middle, Manual + Automation)",ООО Партс Планет Трейдинг,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:53,zarplata_selenium_vacancies.csv,,,,,,
Ведущий инженер-программист,ООО Инконтрол,Москва,,zarplata.ru,2026-05-09 16:47:53,zarplata_selenium_vacancies.csv,,,,,,
Инженер MQ,Компания Тензор,Тутаев,,zarplata.ru,2026-05-09 16:47:53,zarplata_selenium_vacancies.csv,,,,,,
Ведущий инженер-электроник,НТЦ Радуга,Москва,,zarplata.ru,2026-05-09 16:47:54,zarplata_selenium_vacancies.csv,,,,,,
