title,company,city,salary,source,collected_at
Стажер Data Scientist (Новосибирск),"Сбербанк России, ПАО",Не указан,,trudvsem.ru,2026-05-09 16:36:37
Data Scientist (AI- агенты),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Data Scientist (AI Safety),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Senior Data Scientist / AI Researcher,СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Middle Data scientist (валидация моделей),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Data Scientist (валидация ml моделей),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Senior Data Scientist LLM (команда Сегментатор),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Middle/Senior NLP Data Scientist (команда Классификация),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Middle/ Senior Data Scientist (Центр розничного риск-моделирования),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Senior Data Scientist NLP (команда Phygital-продажи и GenAI),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Ведущий специалист по цифровым технологиям аудита,СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Специалист по цифровым технологиям аудита,"Сбербанк России, ПАО",Не указан,,trudvsem.ru,2026-05-09 16:36:37
Системный аналитик (AI),"ООО ""СФН""",Не указан,,trudvsem.ru,2026-05-09 16:36:37
"Lead AI-engineer (AI-Агенты, Agent RecSys)",СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:37
Системный аналитик,"Сбербанк России, ПАО",Не указан,,trudvsem.ru,2026-05-09 16:36:37
Data analyst (Рекламная платформа),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:39
Старший эксперт по анализу данных (Data Analyst),"ПАО ""НЛМК""",Не указан,,trudvsem.ru,2026-05-09 16:36:39
"Data Analyst/Аналитик данных (PostgreSQL, Python)",СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:39
Data-инженер (риски розничного бизнеса),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:39
"Data Engineer (разработчик витрин данных), г. Омск",СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:39
Data Engineer,"Сбербанк России, ПАО",Не указан,,trudvsem.ru,2026-05-09 16:36:41
"Руководитель направления (Аналитик данных, Data Engineer)",Центральный банк Российской Федерации (Банк России),Не указан,,trudvsem.ru,2026-05-09 16:36:41
"Инженер данных (SQL, Python)",Центральный банк Российской Федерации (Банк России),Не указан,,trudvsem.ru,2026-05-09 16:36:41
Аналитик данных,СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:41
Senior FullStack/Lead,СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:41
Ведущий специалист по машинному обучению и методам обработки информации с применением искусственного интеллекта,"ООО  ""НТЦ СЕВЕНТЕСТ""",Не указан,,trudvsem.ru,2026-05-09 16:36:41
Бизнес-аналитик ИТ,"ООО ""ЦИФРА""",Не указан,,trudvsem.ru,2026-05-09 16:36:41
Python developer,СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:42
Senior Python Developer,СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:42
Junior Python Developer (Реестр объектов недвижимости),СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:42
Руководитель по трансформации бизнес-процессов,СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:42
Эксперт направления оценки соответствия требованиям ИБ (compliance),Центральный банк Российской Федерации (Банк России),Не указан,,trudvsem.ru,2026-05-09 16:36:42
Senior Java Developer,СБЕР,Не указан,,trudvsem.ru,2026-05-09 16:36:44
Инженер-программист,"ООО  ""СМАРТЕК""",Не указан,,trudvsem.ru,2026-05-09 16:36:44
Программист,"ООО ""ДИРЕКТУМ""",Не указан,,trudvsem.ru,2026-05-09 16:36:46
Ведущий аналитик данных,"ООО ""ГАРАЖ 8""",Не указан,,trudvsem.ru,2026-05-09 16:36:49
