title,company,city,salary,source,collected_at
Fullstack разработчик (react.js + python),Чубатюк Никита Васильевич,Москва,,zarplata.ru,2026-05-09 16:47:34
Преподаватель программирование Python,Школа математики и программирования Матрица,Москва,,zarplata.ru,2026-05-09 16:47:34
Fullstack or Backend NodeJS/Python developer,ООО ПартДизайн,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:35
Python Backend разработчик (Middle/Middle+),ООО СБК Парус,Москва,,zarplata.ru,2026-05-09 16:47:35
Python (Django) Backend разработчик (мидл),ООО Пиклема,Москва,,zarplata.ru,2026-05-09 16:47:35
Python-разработчик,Платформа Больших Данных,Москва,,zarplata.ru,2026-05-09 16:47:35
Senior Python Developer,ООО ОнТаргет ЛАБС,Алматы,,zarplata.ru,2026-05-09 16:47:35
Senior QA Engineer (Python + Playwright),JT marketing,Тбилиси,,zarplata.ru,2026-05-09 16:47:35
Python developer,ООО КОМТЕК,"Севастополь, Готская улица, 26А/11Г",,zarplata.ru,2026-05-09 16:47:35
Senior python-разработчик,AERODISK,Москва,,zarplata.ru,2026-05-09 16:47:35
Ведущий разработчик (Python),ООО МУЛЬТИФАКТОР,Москва,,zarplata.ru,2026-05-09 16:47:35
Ведущий Python (PyTorch) разработчик,ООО ИТ-Экспертиза,"Москва, р-н Хамовники",,zarplata.ru,2026-05-09 16:47:35
QA Auto Python специалист,Клируэй Текнолоджис,Москва,,zarplata.ru,2026-05-09 16:47:36
Веб-инженер (Python / Node.js / MQTT),ООО СКМ,"Красноярск, р-н Ленинский",,zarplata.ru,2026-05-09 16:47:36
Senior Python-разработчик (команда веб-разработки),ООО Исходный код,"Москва, р-н Южнопортовый",,zarplata.ru,2026-05-09 16:47:36
Middle Python-разработчик (команда веб-разработки),ООО Исходный код,"Москва, р-н Южнопортовый",,zarplata.ru,2026-05-09 16:47:36
"Инженер-программист (C++,Qt, CMake, Python)",ООО ИТЦ,"Ростов-на-Дону, 60К-9, 1-й километр, 3/6",,zarplata.ru,2026-05-09 16:47:36
Мидл/Мидл+ Python-разработчик,ООО Аеза Групп,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:36
Backend-разработчик (Python / Django),ООО Клинкар,Москва,,zarplata.ru,2026-05-09 16:47:36
Педагог по программированию (Python/Unity),Роботекс,Москва,,zarplata.ru,2026-05-09 16:47:36
Разработчик - администратор платформы (Python/Java),ДНВ,"станица Новотитаровская, улица Королёва, 40",,zarplata.ru,2026-05-09 16:47:37
Fullstack-разработчик ( Python ),ЛИАН,Москва,,zarplata.ru,2026-05-09 16:47:38
Преподаватель IT курсов (Python),ООО Цифровая Лаборатория,"Иркутск, р-н Правобережный",,zarplata.ru,2026-05-09 16:47:38
QA Auto Python Engineer - Insurance Tech,«Zunami»,Калининград,,zarplata.ru,2026-05-09 16:47:38
Звукооператор / светорежисер,ООО Питон,Новосибирск,,zarplata.ru,2026-05-09 16:47:39
Senior backend-разработчик (Python),ООО Елизавета Групп,Москва,,zarplata.ru,2026-05-09 16:47:39
Python разработчик (middle),SF.RU,Москва,,zarplata.ru,2026-05-09 16:47:39
Python-разработчик / Data-scientist / Аналитик данных,АНО Федеральный Центр Беспилотных Авиационных Систем,Москва,,zarplata.ru,2026-05-09 16:47:40
Python-разработчик / Python Dev,Кадровое агентство HireWay,Москва,,zarplata.ru,2026-05-09 16:47:40
Python Developer (AI),ATI.SU,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:40
Python разработчик (стажер / junior),SF.RU,Москва,,zarplata.ru,2026-05-09 16:47:40
Python Developer (Data Lake),ATI.SU,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:40
"Backend программист Python (middle, senior)",ООО Ак,Пенза,,zarplata.ru,2026-05-09 16:47:41
Разработчик (сетевой) Python (middle+),АО НИИ МАСШТАБ,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:41
Fullstack-разработчик (Python / ПАК),ООО Алгкод,"Воронеж, р-н Левобережный",,zarplata.ru,2026-05-09 16:47:41
"Backend Python developer (Middle+/Senior, AI)",modesco,Волгоград,,zarplata.ru,2026-05-09 16:47:41
"Финансовый аналитик (A/B‑тестирование, SQL, Python)",ООО ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,Москва,,zarplata.ru,2026-05-09 16:47:41
Risk Analyst,ООО Ок Софт,Москва,,zarplata.ru,2026-05-09 16:47:41
Аналитик,ООО АвтоИнсДат,"Москва, р-н Замоскворечье",,zarplata.ru,2026-05-09 16:47:42
Системный аналитик (AppSec.Track),Swordfish Security,Москва,,zarplata.ru,2026-05-09 16:47:42
AI Engineer (International AI Brand),MT Lab,Москва,,zarplata.ru,2026-05-09 16:47:42
Преподаватель программирования в международную школу,Алгоритмика::Березовский (ООО САГ Компани),"Берёзовский, улица Гагарина, 29",,zarplata.ru,2026-05-09 16:47:42
Старший разработчик Java (AppSec.Wave),Swordfish Security,Москва,,zarplata.ru,2026-05-09 16:47:42
Backend-инженер (python) на направление Телефония/Голосовые роботы,Leadgid,Москва,,zarplata.ru,2026-05-09 16:47:43
AI generative\2d Lead artist,AldanDev,Москва,,zarplata.ru,2026-05-09 16:47:52
"Fullstack-разработчик, программист",ООО УФ-МАСТЕР,"Тула, р-н Советский",,zarplata.ru,2026-05-09 16:47:53
Ведущий разработчик,ООО Энергоинновации,"Зеленодольск, промышленная площадка Зеленодольск, 17",,zarplata.ru,2026-05-09 16:47:53
"QA Engineer/Тестировщик (Middle, Manual + Automation)",ООО Партс Планет Трейдинг,Санкт-Петербург,,zarplata.ru,2026-05-09 16:47:53
Ведущий инженер-программист,ООО Инконтрол,Москва,,zarplata.ru,2026-05-09 16:47:53
Инженер MQ,Компания Тензор,Тутаев,,zarplata.ru,2026-05-09 16:47:53
Ведущий инженер-электроник,НТЦ Радуга,Москва,,zarplata.ru,2026-05-09 16:47:54
Ведущий аналитик группы мониторинга и реагирования (SOC),АО Русская медная компания,"Екатеринбург, р-н Ленинский",,zarplata.ru,2026-05-09 16:47:54
"BIM-инженер / BIM-моделлер (АР, КР)",ООО СБК Парус,Москва,,zarplata.ru,2026-05-09 16:47:54
Младший аналитик отдела анализа рынка,ООО Интернет РЕВОЛЮЦИЯ,"Омск, р-н Центральный",,zarplata.ru,2026-05-09 16:47:55
Главный специалист Отдела развития и внедрения сквозных технологий искусственного интеллекта,АО НПО ТЕХНОМАШ ИМ. С.А. АФАНАСЬЕВА,Москва,,zarplata.ru,2026-05-09 16:47:55
Ассистент психолога,ООО Октопустех,Москва,,zarplata.ru,2026-05-09 16:47:55
Senior DevOps инженер (SRE),EcoFinance,Москва,,zarplata.ru,2026-05-09 16:47:55
QA Auto,Miractal,Москва,,zarplata.ru,2026-05-09 16:47:55
AI Automation Builder / Vibe Coder,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НК ЛАБОРАТОРИИ,Москва,,zarplata.ru,2026-05-09 16:47:56
ML Engineer,Астор,Москва,,zarplata.ru,2026-05-09 16:47:56
Тестировщик-автоматизатор (Fullstack QA),Ruli.ru,Екатеринбург,,zarplata.ru,2026-05-09 16:47:56
Руководитель IT отдела,МосТАБАК,Москва,,zarplata.ru,2026-05-09 16:47:56
BIM-координатор ОВиК/ВК (BIM-координатор ОВ),ООО ПСК Азурит,Москва,,zarplata.ru,2026-05-09 16:47:56
QA automation,ООО ФАЙВДЖЕН,Москва,,zarplata.ru,2026-05-09 16:47:56
Java разработчик AppSec Registry (senior),Swordfish Security,Москва,,zarplata.ru,2026-05-09 16:47:56
